Subject	Date	Condition	Game	Request	Calls	callsyesno	intercepted	Location_filter	Season	Enjoy_Game	Finish	Game_Freq	Enjoy_Type	Interested	Distressed	Excited	Upset	Strong	Gulty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Gender	Purpose	Pos_Affect	Neg_Affect	Purpose_Qual	like	badgroup
134	10/8/2014 15:18	2	2	1	0	0	1	2	3	4	1	5	2	4	2	4	1	2	1	1	1	1	2	1	3	1	1	2	1	2	2	2	1	2	1	22	13	The purpose of this study was to see if playing a violent game would affect my mood	6	
135	10/8/2014 16:29	1	1	1	0	0	1	2	3	4	2	5	3	3	1	2	1	2	1	1	1	2	3	1	3	1	1	1	2	3	1	2	1	2	2	23	10		7	
136	10/8/2014 16:59	6	3	2	0	0	1	2	3	4	2	2	4	4	2	4	1	4	1	1	1	3	2	4	4	1	4	2	5	5	3	3	1	2	1	38	17	To see how my emotions were during the game play and see if i enjoyed it	8	
137	10/8/2014 17:57	5	2	2	10	1	1	2	3	4	2	1	2	4	1	3	2	3	1	1	1	3	5	2	5	1	1	1	5	5	2	3	1	1	2	37	13		6	
138	10/9/2014 16:53	4	1	2	0	0	1	2	3	3	1	2	3	2	3	2	1	2	1	1	1	1	1	3	1	1	1	2	2	2	1	2	1	1	1	16	15	To understand how video games make people feel and how video games affect our emotions in general.	6	
139	10/10/2014 13:52	3	3	1	NA	NA	0	2	3	4	2	4	4	3	1	3	1	3	1	1	1	3	2	1	3	1	1	1	2	3	1	2	1	2	2	25	10		8	
140	10/10/2014 14:20	2	2	1	0	0	1	2	3	4	1	5	5	4	1	2	1	2	1	1	1	3	2	1	2	1	1	1	2	4	1	2	1	2	2	24	10		9	
141	10/10/2014 14:52	1	1	1	0	0	1	2	3	1	1	2	1	2	3	1	2	3	2	1	1	2	2	3	3	1	3	1	2	2	1	3	1	1	2	23	16		2	
142	10/13/2014 15:22	6	3	2	0	0	1	2	3	2	2	1	1	1	2	1	1	1	2	2	1	1	1	2	3	1	1	3	2	2	2	2	2	1	2	15	18		3	
143	10/13/2014 15:26	5	2	2	0	0	1	2	3	5	2	3	4	2	1	2	1	1	1	1	2	1	1	1	4	1	1	1	1	3	3	3	1	2	2	19	13		9	
144	10/13/2014 16:22	4	1	2	0	0	1	2	3	2	1	2	3	3	3	1	2	1	1	1	1	2	1	3	2	1	1	2	4	3	4	2	1	2	2	20	19		5	
145	10/13/2014 16:49	3	3	1	0	0	1	2	3	4	2	2	2	4	3	4	1	3	1	1	2	2	1	1	5	1	1	2	5	5	4	2	2	1	1	32	18	To see if the game creates aggression or anger. Maybe to see if the game causes people to want to do real-life shootings?	6	
146	10/14/2014 16:58	2	2	1	2	1	1	2	3	4	1	7	4	4	1	4	1	3	1	1	1	4	1	1	4	1	3	1	4	4	1	4	1	2	1	35	10	What i saw was when we were playing the second level i feel the study was trying to see if we would shoot up the people. because the game says to follow the person but it doesnt say you have to shoot all the people. I feel its trying to see if certain per sonalities would shoot all the people or just follow.	8	
147	10/15/2014 16:30	1	1	1	1	1	1	2	3	2	2	3	2	2	1	2	1	1	1	1	2	2	3	3	3	2	2	1	4	3	1	2	1	2	2	24	14		4	
148	10/15/2014 17:27	6	3	2	0	0	1	2	3	2	1	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	2	1	13	10	I believe the goal of this study is to find what affect violent video games has on the mind. Specifically why we feel joy from completing the violent acts.	6	
149	10/15/2014 18:19	5	2	2	5	1	1	2	3	4	1	6	4	4	1	5	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	3	1	2	1	21	12	The purpose was to see how violent video games may affect an individual's emotions.	8	
150	10/16/2014 17:19	4	1	2	3	1	1	2	3	4	1	3	5	4	1	3	1	2	1	1	1	4	3	1	3	1	2	1	2	4	2	3	1	2	2	30	11		9	
151	10/17/2014 13:13	3	3	1	0	0	1	2	3	3	2	4	2	4	1	3	2	1	1	1	1	3	1	2	2	1	1	1	2	3	1	3	1	2	2	23	12		5	
152	10/17/2014 13:54	2	2	1	0	0	1	2	3	3	1	4	2	3	4	4	4	2	4	2	1	1	1	1	4	4	1	4	3	4	4	3	2	1	1	26	30	To examine the correlation between video games and the emotions that are felt by the people playing the games.	5	
153	10/17/2014 14:27	1	1	1	0	0	1	2	3	2	1	7	2	2	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	4	1	4	1	2	1	20	10	Finding out the participant's emotions after playing a video game	4	
154	10/17/2014 14:56	6	3	2	0	0	1	2	3	1	2	1	1	1	2	1	1	1	1	1	1	1	1	4	2	1	1	1	1	1	1	1	1	1	2	11	14		2	
155	10/20/2014 14:17	5	2	2	NA	NA	0	2	3	3	1	2	2	3	2	2	3	3	3	3	4	2	1	1	4	2	1	2	3	4	2	2	2	1	2	25	24		5	
156	10/20/2014 14:51	4	1	2	0	0	1	2	3	4	2	4	3	3	1	3	1	2	1	1	1	3	2	4	2	1	1	1	3	1	2	3	1	2	2	23	14		7	
157	10/20/2014 15:28	3	3	1	5	1	1	2	3	4	1	5	5	5	2	4	1	4	4	2	3	4	4	1	5	1	4	1	5	5	4	5	1	2	2	45	20		9	
158	10/20/2014 15:53	2	2	1	10	1	1	2	3	4	1	6	5	4	2	3	1	3	1	1	1	3	3	1	3	1	1	1	3	3	1	3	1	2	1	29	11	"After the acclimation to the game, the mission chosen was \No Russian.\"" This mission was most likely chosen due to the fact of in the game you are in an airport and killing many airport passengers. The purpose of this study i believe was to tell if after  playing a violent video game as such, if the person who had taken part of the study was affected in any way given the feelings and emotions rati"""	9	
159	10/20/2014 16:29	1	1	1	0	0	1	2	3	1	2	5	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	3	1	1	1	2	2	14	11		2	
160	10/21/2014 17:20	6	3	2	2	1	1	2	3	4	2	5	5	3	1	3	2	1	1	1	2	1	1	1	4	1	1	2	1	4	1	2	1	2	1	21	13	How video games influenced and affected your emotions.	9	
161	10/22/2014 15:30	5	2	2	0	0	1	2	3	4	1	5	2	5	2	3	1	3	2	1	1	1	1	1	5	2	1	1	3	5	4	4	1	2	1	31	16	"The study was intended to find out if playing video games has an affect on the human mind. Violent video games are chosen specifically for this study because they're the most controversial. There have been claims that violent games breed violent individua ls, so measuring emotions after this game is one way of discovering whether this is true."	6	
162	10/22/2014 16:14	4	1	2	0	0	1	2	3	1	1	1	1	2	2	2	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	2	2	15	12		2	
163	10/22/2014 16:51	3	3	1	5	1	1	2	3	2	2	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	2	2	1	1	1	1	2	13	12		3	
164	10/22/2014 17:26	2	2	1	0	0	1	2	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	10	10		2	
165	10/22/2014 17:52	1	1	1	0	0	1	2	3	2	1	5	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	13	10	The effect of certain genres of video games and the emotions they invoke in the player.	3	
166	10/23/2014 17:29	6	3	2	5	1	1	2	3	5	1	4	5	5	1	4	1	3	2	1	2	4	4	1	5	1	3	1	5	5	4	4	1	2	2	42	15	N/A	10	
167	10/27/2014 14:49	5	2	2	0	0	1	2	3	4	1	3	5	4	2	3	1	2	1	2	1	2	1	1	5	1	1	3	3	5	1	3	1	2	2	29	14		9	
168	10/27/2014 15:20	4	1	2	0	0	1	2	3	4	1	3	3	4	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	1	2	2	17	10		7	
169	10/27/2014 15:47	3	3	1	10	1	1	2	3	4	1	2	5	4	3	4	3	3	2	2	2	3	4	4	4	3	3	2	4	4	3	4	2	2	2	37	26		9	
170	10/27/2014 16:15	2	2	1	0	0	1	2	3	2	1	4	4	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	11	12	"A little bit, I think maybe the purpose was to see how peoples emotions are after playing a violent video game where your character is doing something that would go against most peoples morals: to determine i guess if you felt more hostile because of play ing the game im not entirely sure."	6	
171	10/27/2014 16:47	1	1	1	0	0	1	2	3	3	1	3	4	4	3	4	2	3	1	1	2	4	3	2	5	1	4	3	5	5	4	5	1	1	2	42	20		7	
172	10/28/2014 17:29	6	3	2	4	1	1	2	3	4	2	6	5	4	2	4	2	3	1	1	1	2	1	2	3	1	1	1	4	4	1	1	1	2	1	27	13	I read the purpose of the experiment before I began playing the video game.	9	
173	10/29/2014 15:44	5	2	2	0	0	1	2	3	3	1	3	2	3	2	2	1	1	3	1	3	1	1	1	4	1	1	1	2	4	2	1	1	1	1	20	16	The purpose was to examine how a person feels feel while they play video games.	5	
174	10/29/2014 16:25	4	1	2	0	0	1	2	3	1	1	3	1	1	3	2	4	3	1	1	2	2	3	3	2	1	1	1	5	4	1	3	1	1	1	26	18	To view how i reacted to playing the video game. To also see what kind of emotions i would express while playing the video game.	2	
175	10/29/2014 16:56	3	3	1	0	0	1	2	3	3	2	4	3	3	2	3	1	1	1	1	1	1	1	2	2	1	1	1	1	3	1	1	1	2	1	17	12	The effect that violent video games has on mood and behavior.	6	
176	10/29/2014 18:04	2	2	1	0	0	1	2	3	5	1	7	4	4	3	4	1	3	1	1	1	4	3	2	4	1	2	1	4	4	1	2	1	2	1	34	13	the studys purpose was to examine the behavior after playing video games and how they affect mood.	9	
177	10/31/2014 13:12	1	1	1	5	1	1	2	3	1	1	6	1	2	1	1	1	3	1	1	1	2	3	4	3	1	2	1	4	3	1	3	1	2	2	26	13		2	
178	10/31/2014 13:56	6	3	2	0	0	1	2	3	3	2	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	13	12		4	
179	10/31/2014 14:28	5	2	2	0	0	1	2	3	4	1	4	3	3	2	3	2	1	2	1	3	3	1	4	4	1	1	1	4	4	2	3	1	2	2	27	19		7	
180	10/31/2014 14:58	4	1	2	10	1	1	2	3	1	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	10	10		2	
181	10/31/2014 15:26	3	3	1	0	0	1	2	3	4	2	4	3	2	1	3	1	1	1	1	1	2	1	1	2	1	1	1	1	3	1	3	1	1	2	19	10		7	
182	11/3/2014 14:26	2	2	1	NA	NA	0	2	3	3	2	5	4	4	1	3	1	3	1	1	1	1	1	1	4	1	1	1	3	3	1	1	1	2	2	24	10		7	
183	11/3/2014 15:04	1	1	1	20	1	1	2	3	3	2	3	3	2	1	2	1	2	1	1	1	3	3	1	4	1	3	1	4	5	2	3	1	2	2	31	11		6	
184	11/3/2014 15:23	6	3	2	0	0	1	2	3	5	2	4	5	5	1	5	1	4	1	1	1	5	4	1	1	1	5	1	5	5	1	1	1	2	2	40	10		10	
185	11/3/2014 15:57	5	2	2	0	0	1	2	3	4	2	5	3	4	1	4	1	3	2	1	1	4	1	2	3	1	1	1	4	4	1	4	1	2	1	32	12	"To see how i would react, if I would shoot the civilans and how it made me feel."	7	
186	11/3/2014 16:24	4	1	2	5	1	1	2	3	3	2	4	3	3	4	2	2	1	1	2	2	3	3	3	4	1	1	4	5	4	2	2	1	2	2	28	22		6	
187	11/4/2014 17:31	3	3	1	NA	NA	0	2	3	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	4	1	2	1	1	1	19	10	To see how playing video games affects our emotions.	3	
188	11/11/2015 0:00	4	1	2	5	1	1	1	3	3	2	1	4	4	1	4	3	3	1	1	5	3	2	2	4	1	2	2	4	3	4	4	1	2	1	33	21	see emotional response to games	7	
189	11/11/2015 0:00	1	1	1	4	1	1	1	3	4	1	2	2	4	2	4	1	1	1	1	1	1	1	1	2	1	1	1	2	3	2	1	1	1	2	18	12		6	
190	11/11/2015 0:00	5	2	2	0	0	1	1	3	1	2	1	1	3	2	2	1	1	1	1	2	2	1	3	3	1	1	2	2	2	1	1	1	1	2	20	15		2	
191	11/12/2015 0:00	2	2	1	0	0	1	1	3	3	2	1	2	2	1	2	2	3	1	1	1	1	1	2	2	1	1	1	2	3	1	2	1	1	2	19	12		5	
192	11/12/2015 0:00	3	3	1	8	1	1	1	3	1	1	1	4	2	3	1	4	3	1	1	5	2	2	1	3	4	1	1	2	4	1	4	1	1	2	24	22		5	
193	11/12/2015 0:00	6	3	2	20	1	1	1	3	4	1	3	3	3	3	3	2	4	1	1	3	3	2	2	4	2	2	2	3	3	1	2	1	1	2	29	18		7	
194	11/16/2015 0:00	1	1	1	5	1	1	1	3	3	2	1	3	4	2	3	1	2	1	1	1	1	1	1	3	1	2	1	2	3	2	3	1	1	2	24	12		6	
195	11/16/2015 0:00	4	1	2	0	0	1	1	3	3	2	3	1	1	3	2	4	3	1	1	2	1	3	2	2	1	1	1	5	5	4	3	1	1	2	26	20		4	
197	11/17/2015 0:00	5	2	2	0	0	1	1	3	4	1	4	2	3	2	2	1	1	3	1	3	2	1	1	4	1	1	1	3	2	2	1	1	1	1	20	16	to find out how I feel when playing a video game	6	
198	11/17/2015 0:00	2	2	1	4	1	1	1	3	4	2	3	4	4	1	3	1	3	1	1	4	2	1	1	2	1	1	1	2	2	3	1	1	2	2	21	15		8	
199	11/18/2015 0:00	6	3	2	10	1	1	1	3	5	2	4	5	5	1	4	1	4	1	1	3	3	2	1	2	1	4	1	4	5	1	1	1	2	2	34	12		10	
200	11/18/2015 0:00	3	3	1	0	0	1	1	3	4	1	3	3	3	1	3	1	1	1	1	1	2	1	1	2	1	1	1	2	4	2	3	1	2	2	22	11		7	
201	11/18/2015 0:00	1	1	1	0	0	1	1	3	2	1	4	1	2	1	3	1	1	2	1	4	1	2	1	3	1	1	1	1	4	1	1	1	1	2	19	14		3	
202	11/18/2015 0:00	4	1	2	5	1	1	1	3	3	1	3	2	2	3	1	2	3	2	2	1	2	3	1	3	1	2	1	2	3	1	4	1	1	2	25	15		5	
203	11/19/2015 0:00	5	2	2	0	0	1	1	3	4	2	5	2	5	2	3	1	2	2	1	3	1	1	1	4	2	1	1	3	3	3	4	1	2	1	27	17	effects of violent games on players	6	
204	2/8/2016 0:00	2	2	1	0	0	1	1	1	3	1	4	3	3	2	4	4	2	3	2	3	3	2	1	3	4	1	3	2	5	4	3	2	1	2	28	28		6	
205	2/8/2016 0:00	3	3	1	5	1	1	1	1	4	1	5	5	4	2	3	1	4	4	2	3	3	3	3	3	1	1	1	2	2	4	2	1	1	2	27	22		9	
206	2/8/2016 0:00	6	3	2	5	1	1	1	1	1	2	4	4	3	2	1	1	3	1	1	1	3	4	3	3	1	1	1	4	3	1	3	1	1	1	28	13	how much do I like being violent	5	
207	2/8/2016 0:00	1	1	1	0	0	1	1	1	4	1	5	3	1	1	4	1	1	2	1	1	2	1	2	3	1	1	1	4	3	1	1	1	1	2	21	12		7	
107	9/30/2014	4	1	2	0	0	1	1	3	4	2	6	4	4	1	3	2	1	1	1	1	1	2	1	1	1	1	2	3	1	2	3	1	1	2	20	13	I beleive that the purpose of the study is to see if people will get mad even though they are set up to lose in a video game.		1
108	10/1/2014	3	3	1	 		0	1	3	4	1	6	3	4	1	3	1	1	1	1	1	3	3	1	3	1	2	1	2	4	2	3	1	1	2	28	11	To see how playing Video Games had a link to certain emotions.		1
109	10/1/2014	2	2	1	0	0	1	1	3	5	1	4	4	5	2	4	1	3	2	1	1	4	3	1	5	1	2	1	4	4	3	3	1	2	2	37	14	I thought the purpose of this study was to see how people react or enjoy a violent game.		1
110	10/1/2014	1	1	1	0	0	1	1	3	3	2	2	4	3	1	3	1	2	1	1	1	2	1	1	4	4	1	1	3	5	3	4	1	1	1	28	15	The purpose of this study was to test the effect of playing video games. I also think the study was experimented to see if the amount of video games effected you in a positive or negative way based on your behaviors you felt.		1
111	10/1/2014	6	3	2	0	0	1	1	3	3	1	5	2	2	2	3	4	4	1	1	2	2	1	3	3	1	1	1	4	3	2	2	1	2	1	25	18	To understand how video games affect me mentally and emotionally.		1
112	10/1/2014	1	1	1	0	0	1	1	3	3	2	5	4	3	2	2	1	1	1	1	1	2	2	1	4	1	1	1	1	2	1	2	1	1	1	20	11	"I'm not sure, but my guess is to see how people react emotionally to video games, and to see how invested they become into games."		1
113	10/2/2014	4	1	2	10	1	1	1	3	3	2	5	4	4	3	3	1	2	2	1	1	3	2	1	4	1	1	1	4	4	1	4	1	1	1	31	13	N/A		1
114	10/2/2014	 	 	 	 		0	1	3	3	2	1	1	2	3	4	1	2	2	3	1	3	3	1	4	1	1	5	3	3	4	3	2	2	2	28	23	I thought the purpose of the study was to observe the emotions that came with playing the game.		1
115	10/2/2014	3	3	1	20	1	1	1	3	5	1	1	1	2	3	5	1	4	2	1	2	3	3	1	5	1	2	3	5	5	5	5	2	2	2	39	21	I thought the purpose of this experiement was to look at a person's behavior and how they react to the game.		1
116	10/7/2014	2	2	1	15	1	1	1	3	3	1	2	2	2	2	2	2	3	2	1	1	2	1	1	2	1	1	1	3	3	2	2	1	2	2	21	14	To see how I reacted to the game and the way that was very violant and quickly paeed.		1
117	10/7/2014	1	1	1	0	0	1	1	3	2	2	4	2	2	3	2	4	3	1	1	2	2	3	4	5	3	2	1	4	4	3	4	2	1	2	31	24	The purpose of this study was for me to a play a video game and then answer some questions on how it made me feel.		1
118	10/8/2014	4	1	2	0	0	1	1	3	5	2	2	5	4	1	2	1	1	2	1	3	3	2	1	4	1	1	1	3	5	1	3	1	1	2	28	13	"Possibly to find out if violence in video games, specifically senseless violence can affect my mood or how i think."		1
119	10/8/2014	5	2	2	0	0	1	1	3	4	1	2	3	4	3	4	3	4	1	2	2	3	2	2	4	2	2	1	2	4	2	4	1	1	1	33	19	i didnt have an idea what this task all about.		1
120	10/8/2014	6	3	2	0	0	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	10	12	to test emotions related to playing video games		1
121	10/8/2014	3	3	1	0	0	1	1	3	4	2	4	4	4	1	3	1	1	1	1	1	3	1	1	2	1	1	1	2	3	2	2	1	1	1	22	11	Probably to see how video games impact your emotions.		1
122	10/8/2014	2	2	1	 		0	1	3	3	2	2	1	2	2	1	1	3	1	1	1	1	1	1	4	1	1	1	4	4	1	4	1	2	2	25	11	The purpose of the study was to show how the game made us feel. Do video games make people more aggressive?		1
123	10/9/2014	3	3	1	 		0	1	3	1	1	1	1	1	1	1	2	1	3	2	1	1	1	1	2	1	1	2	1	2	2	1	2	2	2	12	17	To see how I would react to playing a violent video game.		1
124	10/9/2014	4	1	2	 		0	1	3	2	2	2	3	1	3	2	2	3	1	2	2	3	1	2	2	1	1	3	4	3	2	3	2	2	1	23	20	To see how video games affect our mind and behavior.		1
125	10/9/2014	1	1	1	 		0	1	3	4	2	1	4	4	2	5	1	2	1	1	1	4	3	1	5	1	3	1	4	5	3	5	1	2	2	40	13	My emotional responses to a video game		1
126	10/9/2014	2	2	1	 		0	1	3	5	2	5	5	4	3	4	1	3	4	1	1	4	1	1	5	3	1	1	4	5	4	2	1	1	2	33	20	I thought the purpose of this study was a few different things. 1: I instantly noticed the level that was given to us to play. It dealt with killing innocent people that were unarmed and running away. So i feel as if the study could have been about if a person would feel guilty or not about killing innocent people. 2:I think how playing a violent game can affect on the emotions and/or actions of a p		1
127	10/15/2014	6	3	2	0	0	1	1	3	4	1	4	2	4	1	4	1	3	1	1	1	4	4	1	4	1	3	1	3	4	1	3	1	2	2	36	10	The purpsoe of the study was to study emotions displayed during playing video games and their effects on behavior.		1
128	10/15/2014	1	1	1	0	0	1	1	3	3	2	3	2	1	1	3	2	3	1	3	2	4	3	2	1	4	2	5	2	1	2	1	3	1	2	21	25	The purpose of this study was to see how emotions and video games are related. To see if emotions are shown while playing video games.		1
129	10/15/2014	2	2	1	0	0	1	1	3	3	1	2	1	2	4	3	4	2	2	1	1	3	1	2	3	2	1	3	3	4	5	4	3	2	2	26	27	the purpose was to measure emotions after playing video games to see what correlations exist		1
130	10/15/2014	5	2	2	 		0	1	3	4	2	3	4	4	2	4	1	3	2	1	2	3	1	2	4	2	2	1	2	2	1	4	1	1	1	29	15	Didn't know what experiment was about		1
131	10/15/2014	4	1	2	0	0	1	1	3	4	2	3	3	4	2	4	1	3	1	1	1	3	4	2	5	1	3	1	5	5	1	4	1	1	2	40	12	What emotions does a player goes through while playing a video game.		1
132	10/15/2014	3	3	1	0	0	1	1	3	2	1	2	1	2	2	2	4	1	2	2	1	2	1	2	3	2	1	3	3	3	3	3	2	2	2	21	23	to see the reaction/emotion or responses after playing or during playing the game		1
133	10/15/2014	3	3	1	0	0	1	1	3	4	2	6	1	4	2	4	1	2	1	1	2	3	4	1	4	1	3	2	3	4	2	3	1	2	2	34	14	To measure how video games effect peoples' emotions or judgements.		1
134	10/16/2014	5	2	2	 		0	1	3	4	2	3	4	4	3	4	1	3	3	1	2	3	1	3	4	2	1	2	5	5	3	2	1	1	1	32	21	To determine how playing video games effected our emotions		1
135	10/16/2014	6	3	2	0	0	1	1	3	2	1	2	2	2	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3	2	2	1	2	2	15	13	"To see how people react when playing video games. Or, if they know how to play the certain video game that they were required to play."		1
136	10/16/2014	4	1	2	 		0	1	3	2	2	2	2	2	1	1	2	1	1	1	1	2	1	1	2	1	1	3	3	3	1	3	1	1	2	19	13	I was told the process was for others to view the emotions I was portraying while playing the game or to explain my emotions while playing.		1
137	 	1	1	1	0	0	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
